offer_id,title,offer_type,category,country_code,region,city,venue,price_amount,currency,price_note,valid_from,valid_to,booking_end,availability_status,eligibility_tier,eligibility_text,source_url,visual_page_url,direct_image_url,source_method,confidence,last_verified_at,notes,tags
PRICELESS_US_EXPLORE_MOMA_AFTER_HOURS_WITH_AN_EXPERT_GUIDE,Explore MoMA after hours with an expert guide,EXPERIENCE,ARTS_CULTURE,US,NY,New York,,50,USD,,,,,SURFACED,MASTERCARD,Mastercard,https://www.priceless.com/arts-and-culture/product/230088/centimillimental-world-tour-2025-2026-cafun,https://www.priceless.com/arts-and-culture/product/230088/centimillimental-world-tour-2025-2026-cafun,,PUBLIC_SEARCH_INDEX,MEDIUM,2026-09-02T08:00:00Z,Product URL should be rechecked; title was surfaced on US catalogue.,alex|culture|family|nyc
PRICELESS_US_RUSS_DAUGHTERS_AFTER_HOURS_BAGEL_MAKING,Russ & Daughters after-hours bagel making,EXPERIENCE,CULINARY,US,NY,New York,,80,USD,,,,,SURFACED,MASTERCARD,Mastercard,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,,PUBLIC_SEARCH_INDEX,MEDIUM,2026-09-02T08:00:00Z,,alex|dining|family|nyc
PRICELESS_US_EATALY_CANNOLI_MAKING_CLASS,Eataly cannoli-making class,EXPERIENCE,CULINARY,US,NY,New York,,105,USD,,,,2026-09-25,LIMITED,MASTERCARD,Mastercard,https://www.priceless.com/m/culinary/product/231727/eataly-pre-sale-access-to-classes-tiramisu,https://www.priceless.com/m/culinary/product/231727/eataly-pre-sale-access-to-classes-tiramisu,,PUBLIC_SEARCH_INDEX,MEDIUM,2026-09-02T08:00:00Z,Shared Eataly class source page; verify exact cannoli product URL.,alex|dining|family|nyc
PRICELESS_US_EATALY_TIRAMISU_MASTERCLASS,Eataly tiramisu masterclass,EXPERIENCE,CULINARY,US,NY,New York,,105,USD,,,,2026-09-19,LIMITED,MASTERCARD,Mastercard,https://www.priceless.com/m/culinary/product/231727/eataly-pre-sale-access-to-classes-tiramisu,https://www.priceless.com/m/culinary/product/231727/eataly-pre-sale-access-to-classes-tiramisu,,PUBLIC_SEARCH_INDEX,HIGH,2026-09-02T08:00:00Z,,alex|dining|family|nyc
PRICELESS_US_EATALY_RAVIOLI_MAKING_CLASS,Eataly ravioli-making class,EXPERIENCE,CULINARY,US,NY,New York,,105,USD,,,,,SURFACED,MASTERCARD,Mastercard,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,,PUBLIC_SEARCH_INDEX,MEDIUM,2026-09-02T08:00:00Z,,alex|dining|family|nyc
PRICELESS_US_EATALY_FLATIRON_INSIDER_FOOD_TOUR,Eataly Flatiron insider food tour,EXPERIENCE,CULINARY,US,NY,New York,,100,USD,,,,,SURFACED,MASTERCARD,Mastercard,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,https://www.priceless.com/filter/options/collection/2534?fromCatId=1679&tab=diningReservations,,PUBLIC_SEARCH_INDEX,MEDIUM,2026-09-02T08:00:00Z,,alex|dining|family|nyc
PRICELESS_US_SHOJIN_BREAKFAST_AND_ZEN_MEDITATION_WITH_HIROKI_ODO,Shojin breakfast and Zen meditation with Hiroki Odo,EXPERIENCE,CULINARY,US,NY,New York,,117.45,USD,,,2026-12-13,2026-12-10,AVAILABLE,MASTERCARD,Mastercard,https://origin-us.priceless.com/culinary/product/225563/2026-odo-zen-workshops,https://origin-us.priceless.com/culinary/product/225563/2026-odo-zen-workshops,,PUBLIC_SEARCH_INDEX,HIGH,2026-09-02T08:00:00Z,,alex|dining|nyc|wellness
PRICELESS_US_CARLA_HALL_AND_NICOLAS_NUVAN_DINNER_AT_THE_EDGE_HARLEM,Carla Hall and Nicolas Nuvan dinner at The Edge Harlem,EXPERIENCE,CULINARY,US,NY,New York,,50,USD,,,2026-09-22,2026-09-21,AVAILABLE,MASTERCARD,Mastercard,https://www.priceless.com/m/culinary/product/237525/sbs-dinner,https://www.priceless.com/m/culinary/product/237525/sbs-dinner,,PUBLIC_SEARCH_INDEX,HIGH,2026-09-02T08:00:00Z,,alex|dining|nyc
PRICELESS_US_MARQUEE_SKYDECK_VIP_PARTIES_AT_EDGE,Marquee Skydeck VIP parties at Edge,EXPERIENCE,ENTERTAINMENT,US,NY,New York,,,,Variable,,2026-09-30,,AVAILABLE,MASTERCARD,Mastercard,https://www.priceless.com/entertainment/product/232069/2026-marquee-sky-deck,https://www.priceless.com/entertainment/product/232069/2026-marquee-sky-deck,,PUBLIC_SEARCH_INDEX,HIGH,2026-09-02T08:00:00Z,,alex|entertainment|nyc
PRICELESS_US_SKY_HIGH_YOGA_AT_EDGE,Sky High Yoga at Edge,EXPERIENCE,HEALTH_WELLNESS,US,NY,New York,,75,USD,,,2026-10-02,,AVAILABLE,MASTERCARD,Mastercard,https://www.priceless.com/health-and-wellness/product/230414/sky-high-yoga,https://www.priceless.com/health-and-wellness/product/230414/sky-high-yoga,,PUBLIC_SEARCH_INDEX,HIGH,2026-09-02T08:00:00Z,,alex|nyc|wellness
